,GRE,TF,grad_gpa,grad_rank,username
2903,317+3,94(S23),  3.0, 本科Top30 211,massa16
2904,145+170+3.5,100,  3.3（4/49), 本科Top15 211,白菜3383
2905,147 170 3.0,waive,  3.2, 海本,l4zhou
2906,,,  3.3/4, 本科其他211,Noah1994
2916,,,  85.5/100, 本科：北大，清华，科大，中科院，特色学校牛专业,tom10ye
2918,318+3.5,100(23),  3.75, 本科非211,dhend
2920,147+170,,, 本科Top15 211,melindali
2935,321,97,  84/100, 本科非211,2003moon
2948,315+3,99,  3.1 82, 本科Top30 211,liuxiaoyu1992
2950,312,95(19),, 本科非211,hot13399
2951,321（154 167 3.0）,103 S22,  3.84/4.00, 本科其他211,Susan627
2957,325,109,  3.98/4, 本科：南大，浙大，复旦，上交,zhangwengame
2958,,,  3.62, 海本,nbchao
2961,324 / 3.5,107, Computer Science , ,fishlinghu
2963,327(3),102(23),, 本科Top15 211,llixu
2966,,,  3.6, 海本,guanlun
2973,,108(听力阅读满分),  3.7/4.0 最后2年4.0/4.0, 本科Top15 211,luosh5
2974,323,106,, 本科其他211,novemberay
2975,159+170+3.0,104（23）,  WES 3.56/4.0 Overall 3.67/4.0 Major, 本科：南大，浙大，复旦，上交,chenboy
2977,154+170+3.0,102,  3.45/4, 本科Top15 211,黑客与画家
2978,152+170+3,101（23）,  3.7/4.0，52/257, 本科Top15 211,csyhhu
2999,330(V:162+Q:168)+AW:3.5,108(S:24+R:30+L:27+W:27),  86.33, 本科Top15 211,darkknight18
3004,157+168+3.5,104(19),"  3.72/4, 3/21", 本科：南大，浙大，复旦，上交,nikki3128
3017,,,  3.95/4（ZJU算法）1/79, 本科：南大，浙大，复旦，上交,imdn
3040,151+170,,, 本科Top15 211,zoe0612
3046,316,91(S23),  3.3/4, 本科其他211,橘歆卡卡
3047,,,  3.4/4, 本科Top30 211,an小淇
3048,326,101,"  3.4/4.0(专业课3.6/4.0),20/100", 本科Top30 211,ada要offer
3059,326,,  3.83, 海本,truffer
3060,155+170+3,107（S22),  88/100, 本科Top30 211,wjc
3069,320,102,  85, 本科Top30 211,soarbus
3073,160 + 166 = 326 W:3.0,28 + 27 + 23 + 27 = 105,  3.4/4, 本科非211,dushi792
3076,152+170,100,  4/3.8, 本科Top15 211,倚天开鞘
3079,155+168+3.0,IELTS 7,  3.61/4,, xiaovid
3083,3,102,, 本科Top15 211,waftaves
3090,327,102,  3.5, 本科：南大，浙大，复旦，上交,不再当水军
3094,330+3,100（S20）,  3.81, 本科Top30 211,hjj123567
3103,Q:168 V:166 AW:4.5,,, 海本,onept3acr3s
3112,320+3.5,96(23),  82.6, 本科Top15 211,超凡奇岩
3115,325+3.5,108（23）,  85.2/100, 本科：南大，浙大，复旦，上交,yevita
3117,327 (3.5),102 (20),  3.45/4.30,,lazywei
3118,,,  3.56/4.0, 本科Top15 211,crazigoal
3119,150+170+3.5,R29+L28+S22+W25=104,  4.72/5， Rank 5/160, 本科Top15 211,mxw699
3120,,,  80.1 排名大约150/300？, 本科Top15 211,tyrionz
3124,323+3.0,99 (S22),  3.89/4.0, 本科Top30 211,orange_leave
3127,154+164+3.0,107(S23),  3.54/4, 本科Top15 211,stlm1991
3130,,,  3.9, 海本,seanxl
3132,322,82,  86/100，前30%左右, 本科Top15 211,nappingbird
3133,,,  86.7(9/89), 本科：北大，清华，科大，中科院，特色学校牛专业,家花没有
3136,324(3.0),102(18),  3.66, 本科：南大，浙大，复旦，上交,dongxinb
3139,320+4,29 28 23 29 109,  3.7, 本科：南大，浙大，复旦，上交,niloiv
3140,146+167=313,28+25+22+28=103,  3.5/4.0, 本科：南大，浙大，复旦，上交,gumendier
3142,,,  88.5/100.0 Ranking, 19/200(10%),xsh6528
3143,150+168+3.0,95,  88.45/100 1/61, 本科：南大，浙大，复旦，上交,raxowei
3144,159+170+3.5,30+30+24+27=111,  89.3/100, 本科Top30 211,hk060655
3146,156+170+3.5,108(s22),  92/100, 本科Top15 211,zjcv2012
3148,157 + 170 + 4.5,,  3.6/4,,tljameswade
3156,,96（L20,  89.5, 本科其他211,wsyhya
3157,328+3.5,106,  87／100, 本科Top30 211,Mr.Lin
3158,320+3.5,98,  89.5, 本科：北大，清华，科大，中科院，特色学校牛专业,hcl0601
3168,324,100,, 本科：北大，清华，科大，中科院，特色学校牛专业,ephemeron
3172,630+800,94 (22),, 本科其他211,stone1223
3175,320+4.0,102（24）,, 本科Top30 211,hyxlzyw
3177,,,  87.3/100, 本科Top15 211,人卓卓
3180,151+170+3,28+27+22+24=101,  85.7/100 5/88, 本科Top30 211,lilyya
3183,V152 Q170 AW2.5,R28 L24 S23 W25 100,  88.6/100 Rank, 3/41,liute62
3186,323/3.0,102/23,, 本科Top15 211,samparly
3187,321,102,"  3.81,88(3/244)", 本科Top30 211,davidzxs
3193,153+170+3.0,IELTS 8,  3.54/4.0 (WES), 本科：南大，浙大，复旦，上交,luttmm
3194,320+3.5,100(23),  88.4, 本科：南大，浙大，复旦，上交,tinyrookie
3197,,83,, 本科Top15 211,熊脚mm
3198,165+170+4.0,114,  3.79, 海本,mralwaysright
3203,,,  3.74/4 浙大水算法 4/64, 本科Top30 211,kevinanu
3208,151+170+3.5,25+24+20+25,  3.73/5.0, 本科Top30 211,warlock333
3210,325+3.5,101,  3.5/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,olalalalalalala
3211,155+170+3.5,107(S23),  TOP 10%, 本科Top30 211,凝弦望夜
3214,144 170 3.0,101 s22,  3.5/4, 本科Top30 211,iakul2
3216,321,91,  86, 本科Top30 211,huangyy1995
3224,152+168+3,28+30+22+26=106,  3.2/4, 本科Top15 211,自己人
3228,321+3.5,90,  85.4, 本科Top30 211,multicia
3230,152-168-4,29-26-23-26-104,  85/100, 本科非211,adrianluan
3235,318+3,109(S26),  86.93, 本科：南大，浙大，复旦，上交,ycai
3239,,,  3.3/4.0，排名不详, 本科：北大，清华，科大，中科院，特色学校牛专业,兜兜笔
3246,322,101,,,tsaitao
3248,V158 Q167 3.5,,  3.7, 海本,imweihuang
3249,316,95,  3.75（浙大算法）排名（38/192）, 本科：南大，浙大，复旦，上交,zjuzqj
3251,155+168+3.0,106（22）,  3.59/4，20, 本科：南大，浙大，复旦，上交,mikealive
3252,158+167+3.0,102(S22),, 本科：南大，浙大，复旦，上交,chenmingda
3253,144 170 3,104,  3.48, 本科其他211,laviniatx
3258,154 + 168 + 3,97（19）,  85 major 87, 本科Top15 211,MapleZ
3259,323+3,105,, 本科Top30 211,zoezhang
3274,328,海本免,, 海本,vitac215
3287,327+3.5,103,  3.3/4, 本科非211,宁诺扫地僧
3289,321,97,  88.28/100, 本科Top15 211,liukejun
3306,318+3.5（148）,91（20）,  3.15/4（4.0改进算法）, 本科其他211,ChaceLei
3320,324+3,97(23),  86.8, 本科Top30 211,shijianshi9860
3326,318+3,100(s19),  89/100, 本科Top30 211,Had
3334,155 + 170 + 4,109,  7/122, 本科：南大，浙大，复旦，上交,bingo1995
3336,323+3,101(写作22）,  3.73/4.3, 海本,mmis007
3338,,,  88/100   2/78, 本科Top15 211,sr931112
3339,,,  90.22/100, 本科Top30 211,telotic
3340,330+4.0,104(23),  89/100, 本科Top15 211,ab123dop
3341,157+170+3.5,104(S23),"  87/100, 5/114", 本科Top15 211,shchshhappy
3342,V158 Q166 W 3.0,108(30 30 22 25),  87.41/100，rank 17/297, 本科其他211,LydiaLiu
3343,166 + 170 + 3.0,104,, 本科：北大，清华，科大，中科院，特色学校牛专业,csddff
3348,324+3.5,110,, 本科Top15 211,xiaoquanniao
3353,154+168+4.0,111,, 本科：北大，清华，科大，中科院，特色学校牛专业,linym012THU
3359,160+168+4,106(24),  3.96/4, 本科Top15 211,vitamin78
3362,157+170,102,  3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,demonstrate
3372,324+3.5,107,  3.5+, 本科Top15 211,zhaojun
3376,331+3,104,  3.31, 本科Top30 211,松松的鞋带儿
3377,326(3.5),104(22),  86.9, 本科：北大，清华，科大，中科院，特色学校牛专业,jimmy94z
3378,157+170+3,107(W 28 L29 W28 S22),  3.79/4, 本科Top15 211,213123418
3385,323(3.5),101(S23),,,Evelyninjuly
3387,159+168+3,102（s23）,  wes结果3.23, 本科其他211,outstanding915
3389,316,雅思7,  WES 2.68, 本科非211,elyn
3399,,,  88.9/100, 本科Top15 211,飞翔企鹅
3400,154+170+3.0（之前有个）,97（s20）,  87/10%（major 89）, 本科Top15 211,SCIN
3405,154+170+3.5,111(23),  3.40/4, 本科：南大，浙大，复旦，上交,66666t
3406,"160, 170, 3,5",111,  88.6, 本科Top15 211,whoopss
3408,,,  88.96/100, 本科Top15 211,shenzhu0127
3409,324 + 4.0,110,, 本科：南大，浙大，复旦，上交,jsjtzyy
3411,325,102,  Top 15%, 本科Top15 211,cathvoilet
3416,,,  3.92/4.3, 海本,small.buxie
3419,315,99,  3.76, 海本,stu1130
3420,151+170+3,100,  90.3, 本科其他211,ps2che
3421,148+170+3,106=28+22+28+28,  3.7/4, 本科：南大，浙大，复旦，上交,kxzhao
3422,325+3,104,  92.3/100, 本科非211,Haikism
3431,161+168+3.5,97(s22),  3.92(北大水算法)/4 9/463, 本科Top30 211,GetMeNow
3433,324（3）,102（22）,  3.82/4.0, 本科：南大，浙大，复旦，上交,zjhzjhzjh1026
3446,,,  82.8, 本科：北大，清华，科大，中科院，特色学校牛专业,qwerte
3457,313,Waiver,, 海本,yuej
3460,319/3.5,95,  3.11/4.0, 本科Top30 211,schenkerx
3464,,,  3.7/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,Qinkun
3471,324+3.5,,  3.92, 海本,billlipeng
3477,315+2.5,84,  80, 本科Top15 211,xust
3478,320,93,  3.65, 本科Top30 211,markpen
3484,V:151 Q:170 W:3.0,R:28 + W:28  + L:25 + S:19 = 100,  GPA,3.48/4.3  平均分,haiwei624
3489,,,  89/100, 本科：南大，浙大，复旦，上交,gibson314
3501,V157 Q170 AW3.5,106,  85/100, 本科Top30 211,dvida
3506,,,  3.9 Rank 8, 本科：北大，清华，科大，中科院，特色学校牛专业,lxtlppl920
3507,,,  rank, 2/49,toutouliu
3520,325 3.0,109,  3.5/4, 本科：南大，浙大，复旦，上交,ZJNSJTU
3521,320+3,雅思7,  3.62, 本科Top30 211,jacketsu
3529,145+168+3,100(24),  3.27, 本科：南大，浙大，复旦，上交,fluu
3530,,,  3.97, 海本,zznhacker
3531,152+165+3,103(s23),  3.72/4, 本科：南大，浙大，复旦，上交,Deus
3532,155+167+3.5,"104, S:22",  3.46, 本科：南大，浙大，复旦，上交,maston14
3539,157+170+3.5,106,  3.69, 本科：北大，清华，科大，中科院，特色学校牛专业,shiyqw
3540,333(V163+Q170)+4,111(R30L30S23W28),  3.76/4（90.0/100）排名4/88, 本科：北大，清华，科大，中科院，特色学校牛专业,xf814
3541,334 + 4.5,119,, 海本,yzsuper
3549,329,109,  2/76, 本科Top15 211,464647730
3552,316,90,, 本科Top30 211,woshijl58
3555,152+170+3,29+26+22+24  101,  88.7 3/123, 本科Top30 211,yhy4567345
3567,157+170+3,101(s22),  3.6, 本科Top30 211,lizihao945
3577,153 170 3,100,  3.3, 本科其他211,改过自新
3579,324+3.0,92,  3.64/4  7%, 本科：南大，浙大，复旦，上交,lin88lin8850
3582,315(147+168)+3,101(S24),  Overall, 83.7(3.42/4) Major,MrMussi
3591,150+165+3,雅思6.5,  89.6, 本科非211,supersam1993
3592,315+3.5,102,  85/100, 本科：南大，浙大，复旦，上交,luke_recluse
3593,160+170+3.0；153+170+3.5,107（23）,  89.2/100，3/78, 本科：南大，浙大，复旦，上交,JackXia
3596,,,  85/100, 本科Top15 211,vision._.
3599,317+3,99,,,hss
3610,329+3,93,  83.81, 本科Top15 211,Psycho
3615,153+170+3,102(s22),  3.6/4, 本科Top15 211,Ryo
3623,327,106,, 本科Top30 211,wzyath
3630,154+169,,  3.56, 海本,xiaozegu
3634,152+170+3.0,108(s23),  90, 本科：北大，清华，科大，中科院，特色学校牛专业,zjlxwudan
3639,332,109,  3.9, 本科：南大，浙大，复旦，上交,vivian001
3642,,,  3.9+/4.00, 海本,HyperZealot
3652,,,  3.46, 本科Top30 211,catdog01
3654,327,103,  88, 本科Top30 211,o0V0o
3658,309 (146+160+3),95 (28+24+20+23),  87.19/100, 本科：北大，清华，科大，中科院，特色学校牛专业,zxuqian
3659,"V152+Q167=319, AW3.0",R29+L26+S24+W25=104,  85/100, 本科：北大，清华，科大，中科院，特色学校牛专业,northaqua
3660,321+3.5,103,  Top1, 本科Top15 211,Clare_Snowy
3662,323+3,105(S24),  3.9, 本科：南大，浙大，复旦，上交,Bran
3666,170 + 154 + 3.5,30 + 29 + 20 + 27 = 106,  3.95, 海本,si_rius
3668,不到320,不到95,  3.16, 本科Top30 211,wangsiwei
3671,151+170+3,雅思7(6),  3.82/4（89.2/100） 3/51, 本科Top30 211,翱翔天空的蜗牛
3673,331+4,111,, 海本,wolfgang1756
3688,155+170+4.0,27+27+20+27,  88.26, 本科Top30 211,a751543751
3690,323+3,103,, 本科其他211,Minghan
3695,319,98,,,BonjourAdeo
3699,324+4,103(S26),  3.6/4, 本科Top15 211,xieyt
3700,323,106,, 本科Top30 211,weitianyi321
3707,321,99,  85+, 本科Top30 211,yuhaichao10
3716,317,98(S19),  Overall," 92.5/100, Major",zhangry868
3718,322+3.5,102,  87, 本科Top15 211,Simonzz
3719,,,  3.48/4, 本科其他211,拉普拉斯
3721,,,  88/100, 本科：南大，浙大，复旦，上交,kayone
3722,322+3.5,95,  92/100, 本科Top15 211,心上云霄
3744,324,102,  3.64/4, 本科其他211,gjw931110
3748,154+168+3.5,30(R)+29(L)+23(S)+27(W)=109,  91.5/100 （专业第一）, 本科Top30 211,冥王星上有点冷
3755,322(152+170+3.0),101(23),  3.65/4, 本科Top15 211,heidixy
3756,326 (4),105 (20),  3.74/4.3,,daat11elyon
3759,149+168+3,93(S22),  86, 本科Top30 211,zhangxiaomo
3762,316,88,  2.96/4, 本科：南大，浙大，复旦，上交,silentsea
3765,156+168+3.5,waive,  86.4, 本科Top30 211,yzhang2
3766,325＋3.5,104,  4.92, 本科Top15 211,yuxz
3773,152+170+3,26+25+19+26=96,, 本科其他211,lhpaul
3776,325,103,  84.31, 本科Top30 211,Amaolll123
3779,325,102,  3.85/5.0, 海本,Roc1mu3fen
3781,321+3.0,104(S24),  84+, 本科：南大，浙大，复旦，上交,象象sherry
3783,322+3.0,103（22）,  88.3/100 （2/25）, 本科：南大，浙大，复旦，上交,664077398
3788,,,  85.8/100 3.41/4, 本科Top30 211,ARUI35
3799,149+170,,  85/100 6/18, 本科：南大，浙大，复旦，上交,121270302
3805,155 166 3,103(22),  3.82/4.  90/100.  1/108, 本科非211,AbelJiang
3812,332+2.5,96,  3.85, 本科Top30 211,Sooniy
3813,310+3,95,, 本科：北大，清华，科大，中科院，特色学校牛专业,codingjam123
3822,V155+Q167+AW4,102,  3.2/4.3, 海本,leafsherry
3827,160+170+4.0,R30+L28+S26+W25=109,  3.7/4.0, 本科Top15 211,glw789
3836,V147+Q170+AW3.0,102(R26/L25/S23/W28),  72.7/100, 本科Top30 211,liuhanyu1030
3837,150+170+3,97,  3.89 10/203, 海本,sstale
3840,321+4,103,  88, 本科Top30 211,哭泣绝望的人生
3843,151+170+3.0,28 25 22 23,  85.5/100 3.71/4.00, 本科Top15 211,snowclover
3846,159+170+4.5,,  3.75/4.3, 海本,ivymew
3851,157+163+3.5 数学真是呵呵呵呵,109（23）,  85.5/100, 本科Top15 211,ponbers
3855,150+167,waive,, 本科Top15 211,小师妹
3857,155+168+4.0,95(19),  87/100, 本科其他211,zhanglixue
3860,155+170+3,103（23）,  3.3/4, 本科：南大，浙大，复旦，上交,lucyandlily
3861,161+170+3.5,104（S22),  3.88， 90.5，  2/27, 本科Top30 211,飞天小女鬼
3864,154+168+3,101(23),"  83 as overall, hier major", 本科：南大，浙大，复旦，上交,TheBlackMamba
3865,146+163+3.0,100 ( S: 22),  84/100, 本科非211,unimuji
3867,153+166,100(S23),, 本科Top30 211,kk1331
3873,"V167, Q170, AW4",110 (S23),"  90.6, 1/21", 本科Top30 211,换一种心情
3878,322,99,, 本科Top30 211,yjn
3879,319+3,101(S20),  4.56/5, 本科Top30 211,zl_demon
3881,151+170,101,, 本科Top30 211,kany1111
3883,152+169+3.0,103 R30 L25 S23 W25,  3.58 / 4.0, 本科：南大，浙大，复旦，上交,302536811
3884,,,  82.8, 本科：北大，清华，科大，中科院，特色学校牛专业,2538752252@qq.c
3885,152+168+3,95（22）,, 本科Top15 211,790037775
3886,156+167+3.0,waived,  86/100, 本科Top15 211,skygaze
3891,,,"  10%, 3.8/4.0", 本科：南大，浙大，复旦，上交,caris_lac
3893,321-3,102(S19),  3.89, 本科其他211,daiker
3898,156+170+3,107,"  GPA 3.78/算法A4.0, A-3.7,B3.5 rank(2/46)", 本科：北大，清华，科大，中科院，特色学校牛专业,yuanfang0524
3899,168 + 167 + 3.5,105,  A, 海本,frankless
3901,156+170+3.5,107(S23),  3.8/4, 本科Top15 211,A_nonymous
3902,160+170+4,106(23),  85/100, 本科：北大，清华，科大，中科院，特色学校牛专业,muzac
3911,156+168+4.0,107,  3.98, 海本,jiaqigu
3912,330,111,, 本科：南大，浙大，复旦，上交,jocelynnn
3914,325 3.0,105,  92.7/100 1/46, 本科Top30 211,小六毛
3915,152+170+3.5,107（20）,  86.9，17/162, 本科：南大，浙大，复旦，上交,onward
3916,,,  85.2/100, 本科：南大，浙大，复旦，上交,onion1222
3922,,,zju,  ,jiaruomi
3925,155 170 3,108(28),  3.72  1/79, 本科其他211,wwk55551111
3926,325+3.5,104,, 本科Top15 211,ciciluo
3927,153+168+3,102(22),, 本科Top15 211,RanShall
3932,150+170+4,106(s24),  3.75/4, 本科：南大，浙大，复旦，上交,liliman
3934,330+3,103,  90多，1, 本科Top30 211,jisong_L
3940,154+167 3.0,105（S20）,  88.57/100； 7/198,,JohnHolmes
3941,,,  3.87/4，9/88, 本科：南大，浙大，复旦，上交,yhcbme
3945,320,100,  3.7/4 5%, 本科Top30 211,monster_gump
3947,"326, 170+156+3.0 (有一次3.5)","105, W:24, 其他:27","  87.5, 14%", 本科Top15 211,木种风
3950,,,  3.6, 本科Top15 211,jumpdewey
3956,328+3.5,102,, 本科其他211,flosea
3960,149+170,,, 本科：南大，浙大，复旦，上交,Ramos_pid
3964,150+167=317,97（s20）,  低于3.0, 本科：南大，浙大，复旦，上交,funnybomb
3965,155/170/3.5,110 (S22),, 本科非211,霍然
3966,148+170+3.5,100,  3.8, 本科：南大，浙大，复旦，上交,hexiangh
3971,320,102,  3.88/4, 本科Top30 211,punkl
3974,V159/Q168/W4,108(S 22),  3.85/4, 海本,ignescent
3977,326+3.5,111,  3.76/4, 本科：南大，浙大，复旦，上交,Junecesty
3983,,,  87.4/100 前40%, 本科：北大，清华，科大，中科院，特色学校牛专业,nonsense
3984,164+168+3.5,106(S23),  80, 本科：北大，清华，科大，中科院，特色学校牛专业,guaguazeezon
3986,,105(24),, 本科：南大，浙大，复旦，上交,meyo
3987,162 168 4 330+4,29 30 30 28 117,  3.1, 海本,DarthPotter
3988,VQ均92%,,, 本科Top30 211,奔跑的Matt
3989,154+169,Waived,  3.76/4.00, 海本,djn658
3995,155 169 3.5,109,, 本科：北大，清华，科大，中科院，特色学校牛专业,marcusgao
3997,153+170+3,105,  3.2, 本科：北大，清华，科大，中科院，特色学校牛专业,doraemon757
3998,170+157+3.0,100（S22）,  3.75, 本科：南大，浙大，复旦，上交,xuyuhao
3999,,,  88.4, 本科Top15 211,justoy
4003,"170, 154, (324), 3.0","30, 25, 20, 26, (101)",  85.5/100, 本科：南大，浙大，复旦，上交,coolxiaobaby
4007,,,  3.5/4.0（wes） top20, 本科其他211,taotaower
4010,323,99,  86.6/100, 本科Top15 211,TWFF
4013,,,  GPA,81.62,THeCrusader
4018,320+3,105(23),  3/60 3.76(WES), 本科其他211,Smush
4025,323+aw 3,102(S22),  84, 本科：南大，浙大，复旦，上交,烫烫烫烫烫
4026,v152+q170+aw3,101 (s23),  83, 本科Top15 211,glkwhr
4031,324,105,  89/100, 本科其他211,smiling2727
4043,158+168+3.0,108 （S:23),  3.66/4 北大算法, 本科：北大，清华，科大，中科院，特色学校牛专业,怎么又笑了
4044,V155+Q170+AW3.5,R29+L29+S22+W26=106,  3.54，10/45, 本科：北大，清华，科大，中科院，特色学校牛专业,alexanderhmw
4045,156+167+3.5,111,  2/83, 本科：南大，浙大，复旦，上交,hmy9307
4046,,waived,  3.1/4, 本科其他211,renli3000
4050,153+3.0,101 (S: 23),, 本科：南大，浙大，复旦，上交,BigOrange
4054,164 170 3.0,107,  3.9/4.0   top1%, 本科其他211,wty60215
4055,323+3.5,108,  3.93/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,Zhengyuan.Yang
4058,327+3,103,  3.8, 本科：南大，浙大，复旦，上交,kittenh2o
4062,323+3.0,102,  3.65, 本科Top30 211,大风糊一脸
4065,152+170+3.0,101(S22),"  3.75/4, 1/46", 本科：北大，清华，科大，中科院，特色学校牛专业,且食蛤蜊
4067,146+168+2.5(有点忘了，大概就是这么低的),Waived,  3.6, 本科Top15 211,violet_xrym
4071,320,98(19),"  4.54/5, rank 1", 本科：南大，浙大，复旦，上交,oshizhiyouni
4073,157 + 170 + 4.0,None,  3.94, 海本,caiqizhe
4075,157 168 3.5,29 29 22 26,  3.93（浙大算法。。。）, 本科：南大，浙大，复旦，上交,yyuar
4076,153+170+3.0,107（22）,, 本科：南大，浙大，复旦，上交,土土土土土逗
4081,,,  3.68, 本科：北大，清华，科大，中科院，特色学校牛专业,pkutzy
4085,312+3,96,, 本科其他211,charwing
4086,314 + 4.0,100,  GPA83.7 ; 2/24, 本科其他211,ignorer
4087,322+4,106(24),  88, 本科：南大，浙大，复旦，上交,qzpm1234
4090,153+170+3.0,102(S23),"  3.72/4.0, 2/46", 本科：北大，清华，科大，中科院，特色学校牛专业,dc93
4097,327(157+170),113(26),  3.97/4.3, 海本,aaacabad
4098,153 + 170 + 3.5,105,  3.95 / 4.3, 海本,raypeng
4099,317,101,  88, 本科：南大，浙大，复旦，上交,ksampply
4101,154+170+4.5,30+30+26+27,, 海本,q413111398
4103,331+4.0,115,  9/122, 本科：南大，浙大，复旦，上交,chris_tine
4104,153+170+3,102 (R27 L27 S23 W25),  3.83, 本科：南大，浙大，复旦，上交,yanghanyu1m3fd
4111,680+790+3,106,"  91.6/100, top 3%", 本科：北大，清华，科大，中科院，特色学校牛专业,tyl5566
4120,"V152, Q170, AW3.0","R30,L30,W26,S24 110","  3.71/4, 8/107", 本科：北大，清华，科大，中科院，特色学校牛专业,lyn6850133
4121,322+3.5,103,  84.3, 本科Top30 211,聚散浮云
4122,152+170+4.0,109(24),  87.7/100,,snowmanlarry
4123,v 150 (45%)  q 167 (94%)  awa 2.5 (below 7%),102 (w 21 s 22 ),, 海本,nyy86
4124,151+167+3,101(19),  82/100, 本科其他211,ShalynChin
4127,,,  3.2, 本科Top15 211,kiadragon
4131,310,91,  3.01, 本科非211,lrcray
4135,319+3.0,105,  87/100, 本科：南大，浙大，复旦，上交,784399458
4136,146+170+2.5,98(S23),  81, 本科Top30 211,qzheng93
4137,325 (155+170+3),106 (S 23),  3.3/4.0, 本科：南大，浙大，复旦，上交,feidaowenzhan
4138,328+4.0,,  3.99, 海本,lixx29381031
4139,318,97,  major 87.6/100, 本科：南大，浙大，复旦，上交,kang205
4141,323+3.5,110 (S24),"  3.88/4, 2/162", 本科：南大，浙大，复旦，上交,Thorium
4143,318,92,  3.86/4.00 rank 20, 本科：南大，浙大，复旦，上交,a554b554
4145,v159 q170 aw3.0,r 28 l 26 s 20 w 29 total 103,  overall 85.6/100 major 88.0/100, 本科Top15 211,download1992
4149,322,104,, 本科非211,caominki
4152,320(150+170+3),"91(28,22,17,24)",  87, 本科Top30 211,stephenshaw
4154,,102,  3.27, 本科Top15 211,Withyue
4156,322（3.0）,102（S19）,  填的是百分制（79%），因为4分制看上去太低。。, 本科：北大，清华，科大，中科院，特色学校牛专业,liudangyi
4157,325+4.0,101,, 本科：南大，浙大，复旦，上交,SapotoVector
4159,153+170+3.5,98（S18）,  3.4/4.0，30/200, 本科Top15 211,stevenlli
4161,155+168+3.5,104 S23,  3.23/4, 本科Top30 211,我们的永远
4162,149+168+3.5,100 (Speaking 23),"  3.79/4.0,  12/280", 本科Top30 211,kendy1992
4163,323,102,  87/100, 本科：南大，浙大，复旦，上交,LockOn
4165,,无T,"  3.8/4.0, Major GPA 3.9/4.0", 海本,tomatojam
4166,319,92,  4.69/5, 本科非211,jane11233
4172,323,,  3.3, 本科其他211,不二
4173,151+168+3.0,102 (27+25+22+28),  90.67/100，Top10%, 本科：南大，浙大，复旦，上交,CrystalHu
4178,160+170+3.5,108,  3.50/4.0, 海本,henry1qaz
4181,153 + 166 + 3.5,107 (s22),  84.85, 本科：南大，浙大，复旦，上交,Determinant
4183,319,102,  3.7/4, 本科Top30 211,wanganran
4185,Total: 322 V: 152 Q: 170 AW: 3.5,Total: 102 R: 28 L: 27 S: 22 W: 25,  86.50; Rank, 25%,guolei329
4187,322+3,99,  3.85,,junjunsky
4190,V155 Q168 AW3.5,"R29 L25 S23 W25, 102",  3.83 水算法，11/230, 本科Top30 211,lxao
4193,327+3.0,100,, 本科Top15 211,关渡手稿
4194,152+167+3,102,, 本科：南大，浙大，复旦，上交,cissyjuice
4200,329+3,101,  85.4   6/116, 本科非211,hoppipollaa
4203,149 + 167 + 3.0,96 (W 22),  3.22, 本科：北大，清华，科大，中科院，特色学校牛专业,FelixSchmidt
4212,150+167+3,100(s:22),  87.79  top4%, 本科Top15 211,fallcreek
4217,154+168+3.0 （唉这个3.0）,107（22）,  91.7/100 rank 8, 本科其他211,gxx
4218,152+170+3.0,29+24+19+28=100,"  91.0/100, 1", 本科Top15 211,lucien1227
4224,149+170+3.5,102(S:20),  top 5%, 本科：北大，清华，科大，中科院，特色学校牛专业,S2freelly
4228,317,13年有一个98的分数,  eres算出来应该在3.6左右, 本科其他211,Liddy_L
4234,V151+Q170+AW3.5,R27+L18+S20+W25=Total90,  3.27/北大4.0算法, 本科：南大，浙大，复旦，上交,香蕉你个橘子
4236,V: 157 Q: 168 AW: 5.0,这次申请没考，08年考的是 28+28+23+28=107,"  3.83/4.00 (WES算法), 1/100", 本科非211,stk2010
4240,,,  3.727/4, 海本,老子姓锅
4242,155+170+3.5,110（22）,  91.8  1%, 本科Top30 211,dwna555
4247,160+170+4,107,  87.9/100, 本科：北大，清华，科大，中科院，特色学校牛专业,sunshinechar
4248,155+166+3.5,103 (s23),"  GPA 3.8/4, 2%", 本科Top15 211,lplrobert
4249,323+3,104,  3.91/4.0 排名, 3/150,Believers
4253,158+170+3.5,,, 本科：北大，清华，科大，中科院，特色学校牛专业,chenqian9119
4254,153+165+3.5,94,  75/100, 本科Top15 211,clxiangg
4256,,,  3.63/4.0, 本科非211,TinaBao
4258,165+170=335/AW3.5,28+28+27+27=110,  3.43, 海本,Taeyoulee
4259,155+170+3.5,103/23,"  3.5/4,15%", 本科：北大，清华，科大，中科院，特色学校牛专业,dydcfg
4262,153+168+3.0,103,, 本科Top15 211,linkk
4264,325+3,105（23）,  86-, 本科Top15 211,mondayjun
4265,V152 Q168 W3.5 = 320,R29 L26 S23 W26 = 104,  3.5/4.0 (年级占比3.67%), 本科其他211,抱考拉的桉树猫
4266,327,104(22),  87, 本科Top30 211,lixin99830
4268,155+168+3.0,101(22),  86.14/100, 本科：南大，浙大，复旦，上交,FFFelix
4270,154+167+3,102(s22),  81/100, 本科Top15 211,silence_shadow
4272,149+166+3,96(23),  83.5, 本科其他211,li3yang3
